Confirmed,Deaths,Recovered,Active,Date,Confirmed_Incidence,Active_Incidence,Deaths_Incidence,Recovered_Incidence
0,0,0,0,2020-01-22 00:00:00,0.0,0.0,0.0,0.0
0,0,0,0,2020-01-23 00:00:00,0.0,0.0,0.0,0.0
0,0,0,0,2020-01-24 00:00:00,0.0,0.0,0.0,0.0
0,0,0,0,2020-01-25 00:00:00,0.0,0.0,0.0,0.0
0,0,0,0,2020-01-26 00:00:00,0.3333333333333333,0.3333333333333333,0.0,0.0
1,0,0,1,2020-01-27 00:00:00,1.3333333333333333,1.3333333333333333,0.0,0.0
4,0,0,4,2020-01-28 00:00:00,1.3333333333333333,1.3333333333333333,0.0,0.0
4,0,0,4,2020-01-29 00:00:00,1.0,1.0,0.0,0.0
4,0,0,4,2020-01-30 00:00:00,0.3333333333333333,0.3333333333333333,0.0,0.0
5,0,0,5,2020-01-31 00:00:00,1.3333333333333333,1.3333333333333333,0.0,0.0
8,0,0,8,2020-02-01 00:00:00,2.0,2.0,0.0,0.0
10,0,0,10,2020-02-02 00:00:00,2.3333333333333335,2.3333333333333335,0.0,0.0
12,0,0,12,2020-02-03 00:00:00,1.3333333333333333,1.3333333333333333,0.0,0.0
12,0,0,12,2020-02-04 00:00:00,0.6666666666666666,0.6666666666666666,0.0,0.0
12,0,0,12,2020-02-05 00:00:00,0.0,0.0,0.0,0.0
12,0,0,12,2020-02-06 00:00:00,0.3333333333333333,0.3333333333333333,0.0,0.0
13,0,0,13,2020-02-07 00:00:00,0.3333333333333333,0.3333333333333333,0.0,0.0
13,0,0,13,2020-02-08 00:00:00,0.6666666666666666,0.6666666666666666,0.0,0.0
14,0,0,14,2020-02-09 00:00:00,0.3333333333333333,0.3333333333333333,0.0,0.0
14,0,0,14,2020-02-10 00:00:00,1.0,1.0,0.0,0.0
16,0,0,16,2020-02-11 00:00:00,0.6666666666666666,0.6666666666666666,0.0,0.0
16,0,0,16,2020-02-12 00:00:00,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333
16,0,1,15,2020-02-13 00:00:00,0.0,0.0,0.0,0.3333333333333333
16,0,1,15,2020-02-14 00:00:00,0.0,0.0,0.0,0.3333333333333333
16,0,1,15,2020-02-15 00:00:00,0.0,0.0,0.0,0.0
16,0,1,15,2020-02-16 00:00:00,0.0,0.0,0.0,0.0
16,0,1,15,2020-02-17 00:00:00,0.0,0.0,0.0,3.6666666666666665
16,0,12,4,2020-02-18 00:00:00,0.0,0.0,0.0,3.6666666666666665
16,0,12,4,2020-02-19 00:00:00,0.0,0.0,0.0,3.6666666666666665
16,0,12,4,2020-02-20 00:00:00,0.0,0.0,0.0,0.6666666666666666
16,0,14,2,2020-02-21 00:00:00,0.0,0.0,0.0,0.6666666666666666
16,0,14,2,2020-02-22 00:00:00,0.0,0.0,0.0,0.6666666666666666
16,0,14,2,2020-02-23 00:00:00,0.0,0.0,0.0,0.0
16,0,14,2,2020-02-24 00:00:00,0.3333333333333333,0.3333333333333333,0.0,0.0
17,0,14,3,2020-02-25 00:00:00,3.6666666666666665,3.3333333333333335,0.0,0.3333333333333333
27,0,15,12,2020-02-26 00:00:00,10.0,9.333333333333334,0.0,0.6666666666666666
46,0,16,30,2020-02-27 00:00:00,10.333333333333334,9.666666666666666,0.0,0.6666666666666666
48,0,16,32,2020-02-28 00:00:00,17.333333333333332,17.0,0.0,0.3333333333333333
79,0,16,63,2020-02-29 00:00:00,28.0,28.0,0.0,0.0
130,0,16,114,2020-03-01 00:00:00,37.0,37.0,0.0,0.0
159,0,16,143,2020-03-02 00:00:00,39.0,39.0,0.0,0.0
196,0,16,180,2020-03-03 00:00:00,44.0,44.0,0.0,0.0
262,0,16,246,2020-03-04 00:00:00,107.66666666666667,107.66666666666667,0.0,0.0
482,0,16,466,2020-03-05 00:00:00,158.0,157.66666666666666,0.0,0.3333333333333333
670,0,17,653,2020-03-06 00:00:00,179.0,178.33333333333334,0.0,0.6666666666666666
799,0,18,781,2020-03-07 00:00:00,186.0,185.33333333333334,0.0,0.6666666666666666
1040,0,18,1022,2020-03-08 00:00:00,168.66666666666666,167.66666666666666,0.6666666666666666,0.3333333333333333
1176,2,18,1156,2020-03-09 00:00:00,219.33333333333334,218.66666666666666,0.6666666666666666,0.0
1457,2,18,1437,2020-03-10 00:00:00,289.3333333333333,286.0,1.0,2.3333333333333335
1908,3,25,1880,2020-03-11 00:00:00,300.6666666666667,298.0,0.3333333333333333,2.3333333333333335
2078,3,25,2050,2020-03-12 00:00:00,739.3333333333334,728.3333333333334,1.6666666666666667,9.333333333333334
3675,7,46,3622,2020-03-13 00:00:00,892.3333333333334,883.3333333333334,2.0,7.0
4585,9,46,4530,2020-03-14 00:00:00,1239.0,1229.3333333333333,2.6666666666666665,7.0
5795,11,46,5738,2020-03-15 00:00:00,1199.0,1188.6666666666667,3.3333333333333335,7.0
7272,17,67,7188,2020-03-16 00:00:00,1557.3333333333333,1545.3333333333333,5.0,7.0
9257,24,67,9166,2020-03-17 00:00:00,2177.3333333333335,2152.0,5.666666666666667,19.666666666666668
12327,28,105,12194,2020-03-18 00:00:00,2682.6666666666665,2658.3333333333335,9.0,15.333333333333334
15320,44,113,15163,2020-03-19 00:00:00,3530.3333333333335,3478.3333333333335,14.333333333333334,37.666666666666664
19848,67,180,19601,2020-03-20 00:00:00,3295.3333333333335,3234.0,18.666666666666668,42.666666666666664
22213,84,233,21896,2020-03-21 00:00:00,3184.3333333333335,3116.6666666666665,16.666666666666668,51.0
24873,94,266,24513,2020-03-22 00:00:00,3069.3333333333335,3022.0,18.666666666666668,28.666666666666668
29056,123,266,28667,2020-03-23 00:00:00,3591.0,2563.3333333333335,24.333333333333332,1003.3333333333334
32986,157,3243,29586,2020-03-24 00:00:00,4150.0,3019.0,37.333333333333336,1093.6666666666667
37323,206,3547,33570,2020-03-25 00:00:00,4960.666666666667,3110.3333333333335,48.0,1802.3333333333333
43938,267,5673,37998,2020-03-26 00:00:00,5961.666666666667,4761.666666666667,61.666666666666664,1138.3333333333333
50871,342,6658,43871,2020-03-27 00:00:00,6790.666666666667,5070.333333333333,75.66666666666667,1644.6666666666667
57695,433,8481,48781,2020-03-28 00:00:00,6052.333333333333,4784.333333333333,88.66666666666667,1179.3333333333333
62095,533,9211,52351,2020-03-29 00:00:00,5338.0,2956.3333333333335,101.0,2280.6666666666665
66885,645,13500,52740,2020-03-30 00:00:00,4704.333333333333,2050.6666666666665,114.0,2539.6666666666665
71808,775,16100,54933,2020-03-31 00:00:00,5259.0,1967.0,129.0,3163.0
77872,920,18700,58252,2020-04-01 00:00:00,5969.666666666667,2835.6666666666665,154.0,2980.0
84794,1107,22440,61247,2020-04-02 00:00:00,6450.333333333333,3458.6666666666665,166.66666666666666,2825.0
91159,1275,24575,65309,2020-04-03 00:00:00,6073.333333333333,3332.0,174.66666666666666,2566.6666666666665
96092,1444,26400,68248,2020-04-04 00:00:00,5109.666666666667,2864.0,159.0,2086.6666666666665
100123,1584,28700,69839,2020-04-05 00:00:00,4071.6666666666665,2518.3333333333335,178.33333333333334,1375.0
103374,1810,28700,72864,2020-04-06 00:00:00,3857.0,1538.6666666666667,190.66666666666666,3227.0
107663,2016,36081,69566,2020-04-07 00:00:00,4391.0,1008.3333333333334,255.0,5866.666666666667
113296,2349,46300,64647,2020-04-08 00:00:00,4935.666666666667,0.0,265.6666666666667,7902.333333333333
118181,2607,52407,63167,2020-04-09 00:00:00,4836.0,774.6666666666666,250.33333333333334,5944.0
122171,2767,53913,65491,2020-04-10 00:00:00,3870.6666666666665,774.6666666666666,139.33333333333334,3700.0
124908,2736,57400,64772,2020-04-11 00:00:00,3224.3333333333335,774.6666666666666,148.66666666666666,2631.0
127854,3022,60300,64532,2020-04-12 00:00:00,2633.6666666666665,0.0,152.66666666666666,3462.3333333333335
130072,3194,64300,62578,2020-04-13 00:00:00,2150.3333333333335,0.0,186.0,3600.0
131359,3294,68200,59865,2020-04-14 00:00:00,2299.6666666666665,0.0,260.6666666666667,4100.0
134753,3804,72600,58349,2020-04-15 00:00:00,2542.0,0.0,286.0,4233.333333333333
137698,4052,77000,56646,2020-04-16 00:00:00,3346.0,0.0,352.6666666666667,4971.333333333333
141397,4352,83114,53931,2020-04-17 00:00:00,2863.0,0.0,218.33333333333334,4266.666666666667
143342,4459,85400,53483,2020-04-18 00:00:00,2495.3333333333335,0.0,178.0,3666.6666666666665
145184,4586,88000,52598,2020-04-19 00:00:00,1889.3333333333333,0.0,170.0,2795.3333333333335
147065,4862,91500,50703,2020-04-20 00:00:00,1649.6666666666667,0.0,191.33333333333334,3266.6666666666665
