Confirmed,Deaths,Recovered,Active,Date,Confirmed_Incidence,Active_Incidence,Deaths_Incidence,Recovered_Incidence
0,0,0,0,2020-01-22 00:00:00,0.0,0.0,0.0,0.0
0,0,0,0,2020-01-23 00:00:00,0.0,0.0,0.0,0.0
0,0,0,0,2020-01-24 00:00:00,0.0,0.0,0.0,0.0
0,0,0,0,2020-01-25 00:00:00,0.0,0.0,0.0,0.0
0,0,0,0,2020-01-26 00:00:00,0.0,0.0,0.0,0.0
0,0,0,0,2020-01-27 00:00:00,0.0,0.0,0.0,0.0
0,0,0,0,2020-01-28 00:00:00,0.0,0.0,0.0,0.0
0,0,0,0,2020-01-29 00:00:00,0.0,0.0,0.0,0.0
0,0,0,0,2020-01-30 00:00:00,0.6666666666666666,0.6666666666666666,0.0,0.0
2,0,0,2,2020-01-31 00:00:00,0.6666666666666666,0.6666666666666666,0.0,0.0
2,0,0,2,2020-02-01 00:00:00,0.6666666666666666,0.6666666666666666,0.0,0.0
2,0,0,2,2020-02-02 00:00:00,0.0,0.0,0.0,0.0
2,0,0,2,2020-02-03 00:00:00,0.0,0.0,0.0,0.0
2,0,0,2,2020-02-04 00:00:00,0.0,0.0,0.0,0.0
2,0,0,2,2020-02-05 00:00:00,0.0,0.0,0.0,0.0
2,0,0,2,2020-02-06 00:00:00,0.3333333333333333,0.3333333333333333,0.0,0.0
3,0,0,3,2020-02-07 00:00:00,0.3333333333333333,0.3333333333333333,0.0,0.0
3,0,0,3,2020-02-08 00:00:00,0.3333333333333333,0.3333333333333333,0.0,0.0
3,0,0,3,2020-02-09 00:00:00,0.0,0.0,0.0,0.0
3,0,0,3,2020-02-10 00:00:00,0.0,0.0,0.0,0.0
3,0,0,3,2020-02-11 00:00:00,0.0,0.0,0.0,0.0
3,0,0,3,2020-02-12 00:00:00,0.0,0.0,0.0,0.0
3,0,0,3,2020-02-13 00:00:00,0.0,0.0,0.0,0.0
3,0,0,3,2020-02-14 00:00:00,0.0,0.0,0.0,0.0
3,0,0,3,2020-02-15 00:00:00,0.0,0.0,0.0,0.0
3,0,0,3,2020-02-16 00:00:00,0.0,0.0,0.0,0.0
3,0,0,3,2020-02-17 00:00:00,0.0,0.0,0.0,0.0
3,0,0,3,2020-02-18 00:00:00,0.0,0.0,0.0,0.0
3,0,0,3,2020-02-19 00:00:00,0.0,0.0,0.0,0.0
3,0,0,3,2020-02-20 00:00:00,5.666666666666667,5.333333333333333,0.3333333333333333,0.0
20,1,0,19,2020-02-21 00:00:00,19.666666666666668,18.666666666666668,0.6666666666666666,0.3333333333333333
62,2,1,59,2020-02-22 00:00:00,50.666666666666664,49.0,1.0,0.6666666666666666
155,3,2,150,2020-02-23 00:00:00,69.66666666666667,67.33333333333333,2.0,0.6666666666666666
229,7,1,221,2020-02-24 00:00:00,86.66666666666667,84.0,2.6666666666666665,0.3333333333333333
322,10,1,311,2020-02-25 00:00:00,99.33333333333333,96.0,3.0,0.6666666666666666
453,12,3,438,2020-02-26 00:00:00,142.0,124.0,3.3333333333333335,14.666666666666666
655,17,45,593,2020-02-27 00:00:00,188.66666666666666,170.0,3.6666666666666665,15.0
888,21,46,821,2020-02-28 00:00:00,225.0,205.0,5.666666666666667,14.333333333333334
1128,29,46,1053,2020-02-29 00:00:00,346.3333333333333,328.0,5.666666666666667,12.666666666666666
1694,34,83,1577,2020-03-01 00:00:00,382.6666666666667,338.0,10.333333333333334,34.333333333333336
2036,52,149,1835,2020-03-02 00:00:00,458.0,403.3333333333333,16.666666666666668,38.0
2502,79,160,2263,2020-03-03 00:00:00,465.0,376.3333333333333,24.333333333333332,64.33333333333333
3089,107,276,2706,2020-03-04 00:00:00,607.3333333333334,487.0,32.0,88.33333333333333
3858,148,414,3296,2020-03-05 00:00:00,711.3333333333334,551.0,39.333333333333336,121.0
4636,197,523,3916,2020-03-06 00:00:00,931.3333333333334,785.0,42.0,104.33333333333333
5883,233,589,5061,2020-03-07 00:00:00,1172.3333333333333,1030.3333333333333,72.66666666666667,69.33333333333333
7375,366,622,6387,2020-03-08 00:00:00,1512.0,1356.3333333333333,88.66666666666667,67.0
9172,463,724,7985,2020-03-09 00:00:00,1422.0,1244.3333333333333,132.66666666666666,45.0
10149,631,724,8794,2020-03-10 00:00:00,1695.6666666666667,1401.0,153.66666666666666,141.0
12462,827,1045,10590,2020-03-11 00:00:00,1980.3333333333333,1689.0,184.33333333333334,107.0
15113,1016,1045,13052,2020-03-12 00:00:00,2503.6666666666665,2053.6666666666665,211.66666666666666,238.33333333333334
17660,1266,1439,14955,2020-03-13 00:00:00,2898.3333333333335,2386.6666666666665,204.66666666666666,307.0
21157,1441,1966,17750,2020-03-14 00:00:00,3211.3333333333335,2517.0,264.3333333333333,430.0
24747,1809,2335,20603,2020-03-15 00:00:00,3440.0,2706.0,297.3333333333333,436.6666666666667
27980,2158,2749,23073,2020-03-16 00:00:00,3449.6666666666665,2770.6666666666665,354.0,325.0
31506,2503,2941,26062,2020-03-17 00:00:00,3655.3333333333335,2702.3333333333335,389.6666666666667,563.3333333333334
35713,2978,4025,28710,2020-03-18 00:00:00,4351.666666666667,3372.3333333333335,415.6666666666667,563.6666666666666
41035,3405,4440,33190,2020-03-19 00:00:00,5171.666666666667,4162.333333333333,509.6666666666667,499.6666666666667
47021,4032,4440,38549,2020-03-20 00:00:00,5955.0,4657.0,615.6666666666666,682.3333333333334
53578,4825,6072,42681,2020-03-21 00:00:00,6034.333333333333,4482.666666666667,690.3333333333334,861.3333333333334
59138,5476,7024,46638,2020-03-22 00:00:00,5635.333333333333,4092.3333333333335,681.6666666666666,861.3333333333334
63927,6077,7024,50826,2020-03-23 00:00:00,5199.333333333333,3783.0,665.0,751.3333333333334
69176,6820,8326,54030,2020-03-24 00:00:00,5082.666666666667,3627.6666666666665,675.6666666666666,779.3333333333334
74386,7503,9362,57521,2020-03-25 00:00:00,5554.0,3729.0,712.6666666666666,1112.3333333333333
80589,8215,10361,62013,2020-03-26 00:00:00,5774.0,4128.0,771.3333333333334,874.6666666666666
86498,9134,10950,66414,2020-03-27 00:00:00,6028.666666666667,4181.333333333333,840.0,1007.3333333333334
92472,10023,12384,70065,2020-03-28 00:00:00,5700.0,3955.6666666666665,854.6666666666666,889.6666666666666
97689,10779,13030,73880,2020-03-29 00:00:00,5080.333333333333,3038.0,819.0,1223.3333333333333
101739,11591,14620,75528,2020-03-30 00:00:00,4440.0,2523.3333333333335,801.6666666666666,1115.0
105792,12428,15729,77635,2020-03-31 00:00:00,4295.0,2230.6666666666665,792.0,1272.3333333333333
110574,13155,16847,80572,2020-04-01 00:00:00,4501.0,2507.0,774.6666666666666,1219.3333333333333
115242,13915,18278,83049,2020-04-02 00:00:00,4678.333333333333,2584.3333333333335,751.0,1343.0
119827,14681,19758,85388,2020-04-03 00:00:00,4686.0,2567.3333333333335,735.6666666666666,1383.0
124632,15362,20996,88274,2020-04-04 00:00:00,4568.666666666667,2732.3333333333335,657.3333333333334,1179.0
128948,15887,21815,91246,2020-04-05 00:00:00,4240.0,2599.6666666666665,614.0,1026.3333333333333
132547,16523,22837,93187,2020-04-06 00:00:00,3651.3333333333335,1931.0,588.3333333333334,1132.0
135586,17127,24392,94067,2020-04-07 00:00:00,3491.3333333333335,1338.6666666666667,594.0,1558.6666666666667
139422,17669,26491,95262,2020-04-08 00:00:00,3693.0,1230.0,585.3333333333334,1877.6666666666667
143626,18279,28470,96877,2020-04-09 00:00:00,3997.0,1402.0,574.0,2021.0
147577,18849,30455,98273,2020-04-10 00:00:00,4283.0,1669.0,599.6666666666666,2014.3333333333333
152271,19468,32534,100269,2020-04-11 00:00:00,4245.666666666667,1792.0,540.0,1913.6666666666667
156363,19899,34211,102253,2020-04-12 00:00:00,3979.6666666666665,1781.0,538.6666666666666,1660.0
159516,20465,35435,103616,2020-04-13 00:00:00,3405.6666666666665,1340.6666666666667,533.0,1532.0
162488,21067,37130,104291,2020-04-14 00:00:00,2930.6666666666665,1055.0,582.0,1293.6666666666667
165155,21645,38092,105418,2020-04-15 00:00:00,3141.6666666666665,997.0,568.3333333333334,1576.3333333333333
168941,22170,40164,106607,2020-04-16 00:00:00,3315.3333333333335,890.3333333333334,559.3333333333334,1865.6666666666667
172434,22745,42727,106962,2020-04-17 00:00:00,3590.0,784.3333333333334,527.3333333333334,2278.3333333333335
175925,23227,44927,107771,2020-04-18 00:00:00,3343.6666666666665,550.0,496.6666666666667,2297.0
178972,23660,47055,108257,2020-04-19 00:00:00,2931.3333333333335,431.6666666666667,456.3333333333333,2050.0
