Confirmed,Deaths,Recovered,Active,Date,Confirmed_Incidence,Active_Incidence,Deaths_Incidence,Recovered_Incidence
0,0,0,0,2020-01-22 00:00:00,0.0,0.0,0.0,0.0
0,0,0,0,2020-01-23 00:00:00,0.0,0.0,0.0,0.0
0,0,0,0,2020-01-24 00:00:00,0.0,0.0,0.0,0.0
0,0,0,0,2020-01-25 00:00:00,0.0,0.0,0.0,0.0
0,0,0,0,2020-01-26 00:00:00,0.0,0.0,0.0,0.0
0,0,0,0,2020-01-27 00:00:00,0.0,0.0,0.0,0.0
0,0,0,0,2020-01-28 00:00:00,0.0,0.0,0.0,0.0
0,0,0,0,2020-01-29 00:00:00,0.0,0.0,0.0,0.0
0,0,0,0,2020-01-30 00:00:00,0.0,0.0,0.0,0.0
0,0,0,0,2020-01-31 00:00:00,0.3333333333333333,0.3333333333333333,0.0,0.0
1,0,0,1,2020-02-01 00:00:00,0.3333333333333333,0.3333333333333333,0.0,0.0
1,0,0,1,2020-02-02 00:00:00,0.3333333333333333,0.3333333333333333,0.0,0.0
1,0,0,1,2020-02-03 00:00:00,0.0,0.0,0.0,0.0
1,0,0,1,2020-02-04 00:00:00,0.0,0.0,0.0,0.0
1,0,0,1,2020-02-05 00:00:00,0.0,0.0,0.0,0.0
1,0,0,1,2020-02-06 00:00:00,0.0,0.0,0.0,0.0
1,0,0,1,2020-02-07 00:00:00,0.0,0.0,0.0,0.0
1,0,0,1,2020-02-08 00:00:00,0.3333333333333333,0.3333333333333333,0.0,0.0
2,0,0,2,2020-02-09 00:00:00,0.3333333333333333,0.3333333333333333,0.0,0.0
2,0,0,2,2020-02-10 00:00:00,0.3333333333333333,0.3333333333333333,0.0,0.0
2,0,0,2,2020-02-11 00:00:00,0.0,0.0,0.0,0.0
2,0,0,2,2020-02-12 00:00:00,0.0,0.0,0.0,0.0
2,0,0,2,2020-02-13 00:00:00,0.0,0.0,0.0,0.0
2,0,0,2,2020-02-14 00:00:00,0.0,0.0,0.0,0.6666666666666666
2,0,2,0,2020-02-15 00:00:00,0.0,0.0,0.0,0.6666666666666666
2,0,2,0,2020-02-16 00:00:00,0.0,0.0,0.0,0.6666666666666666
2,0,2,0,2020-02-17 00:00:00,0.0,0.0,0.0,0.0
2,0,2,0,2020-02-18 00:00:00,0.0,0.0,0.0,0.0
2,0,2,0,2020-02-19 00:00:00,0.0,0.0,0.0,0.0
2,0,2,0,2020-02-20 00:00:00,0.0,0.0,0.0,0.0
2,0,2,0,2020-02-21 00:00:00,0.0,0.0,0.0,0.0
2,0,2,0,2020-02-22 00:00:00,0.0,0.0,0.0,0.0
2,0,2,0,2020-02-23 00:00:00,0.0,0.0,0.0,0.0
2,0,2,0,2020-02-24 00:00:00,1.3333333333333333,1.3333333333333333,0.0,0.0
6,0,2,4,2020-02-25 00:00:00,3.6666666666666665,3.6666666666666665,0.0,0.0
13,0,2,11,2020-02-26 00:00:00,4.333333333333333,4.333333333333333,0.0,0.0
15,0,2,13,2020-02-27 00:00:00,8.666666666666666,8.666666666666666,0.0,0.0
32,0,2,30,2020-02-28 00:00:00,10.666666666666666,10.666666666666666,0.0,0.0
45,0,2,43,2020-02-29 00:00:00,23.0,23.0,0.0,0.0
84,0,2,82,2020-03-01 00:00:00,29.333333333333332,29.333333333333332,0.0,0.0
120,0,2,118,2020-03-02 00:00:00,40.0,39.666666666666664,0.3333333333333333,0.0
165,1,2,162,2020-03-03 00:00:00,46.0,45.333333333333336,0.6666666666666666,0.0
222,2,2,218,2020-03-04 00:00:00,46.333333333333336,45.333333333333336,1.0,0.0
259,3,2,254,2020-03-05 00:00:00,78.33333333333333,77.0,1.3333333333333333,0.0
400,5,2,393,2020-03-06 00:00:00,92.66666666666667,80.66666666666667,2.6666666666666665,9.333333333333334
500,10,30,460,2020-03-07 00:00:00,138.0,124.0,4.666666666666667,9.333333333333334
673,17,30,626,2020-03-08 00:00:00,224.33333333333334,206.66666666666666,7.666666666666667,10.0
1073,28,32,1013,2020-03-09 00:00:00,398.3333333333333,389.3333333333333,8.333333333333334,0.6666666666666666
1695,35,32,1628,2020-03-10 00:00:00,534.6666666666666,471.3333333333333,12.333333333333334,51.0
2277,54,183,2040,2020-03-11 00:00:00,401.3333333333333,342.3333333333333,9.0,50.333333333333336
2277,55,183,2039,2020-03-12 00:00:00,1179.0,1093.0,32.666666666666664,53.666666666666664
5232,133,193,4906,2020-03-13 00:00:00,1371.3333333333333,1213.3333333333333,47.0,111.33333333333333
6391,195,517,5679,2020-03-14 00:00:00,1840.3333333333333,1651.0,78.0,111.33333333333333
7798,289,517,6992,2020-03-15 00:00:00,1570.0,1388.0,69.66666666666667,112.33333333333333
9942,342,530,9070,2020-03-16 00:00:00,1785.6666666666667,1502.6666666666667,112.66666666666667,170.33333333333334
11748,533,1028,10187,2020-03-17 00:00:00,2037.3333333333333,1738.0,111.33333333333333,188.0
13910,623,1081,12206,2020-03-18 00:00:00,2673.6666666666665,2318.6666666666665,162.66666666666666,192.33333333333334
17963,830,1107,16026,2020-03-19 00:00:00,2887.3333333333335,2530.6666666666665,170.0,186.66666666666666
20410,1043,1588,17779,2020-03-20 00:00:00,3821.3333333333335,3222.6666666666665,250.66666666666666,348.0
25374,1375,2125,21874,2020-03-21 00:00:00,3601.6666666666665,2798.3333333333335,314.0,489.3333333333333
28768,1772,2575,24421,2020-03-22 00:00:00,4908.666666666667,4157.0,422.6666666666667,329.0
35136,2311,2575,30250,2020-03-23 00:00:00,4837.0,3803.0,477.6666666666667,556.3333333333334
39885,2808,3794,33283,2020-03-24 00:00:00,6915.666666666667,5360.0,625.0,930.6666666666666
49515,3647,5367,40501,2020-03-25 00:00:00,7550.0,5385.333333333333,684.6666666666666,1480.0
57786,4365,7015,46406,2020-03-26 00:00:00,8611.333333333334,5980.333333333333,776.6666666666666,1854.3333333333333
65719,5138,9357,51224,2020-03-27 00:00:00,7906.666666666667,4822.333333333333,778.3333333333334,2306.0
73235,5982,12285,54968,2020-03-28 00:00:00,7441.333333333333,4064.0,812.6666666666666,2564.6666666666665
80110,6803,14709,58598,2020-03-29 00:00:00,7412.333333333333,4078.6666666666665,859.3333333333334,2474.3333333333335
87956,7716,16780,63460,2020-03-30 00:00:00,7562.666666666667,4410.666666666667,827.3333333333334,2324.6666666666665
95923,8464,19259,68200,2020-03-31 00:00:00,8002.666666666667,4495.333333333333,861.3333333333334,2646.0
104118,9387,22647,72084,2020-04-01 00:00:00,8036.333333333333,3838.0,877.3333333333334,3321.0
112065,10348,26743,74974,2020-04-02 00:00:00,7758.666666666667,3096.0,911.3333333333334,3751.3333333333335
119199,11198,30513,77488,2020-04-03 00:00:00,7350.0,2639.3333333333335,853.3333333333334,3857.3333333333335
126168,11947,34219,80002,2020-04-04 00:00:00,6527.0,1983.6666666666667,764.3333333333334,3779.0
131646,12641,38080,80925,2020-04-05 00:00:00,5825.333333333333,1803.0,714.3333333333334,3308.0
136675,13341,40437,82897,2020-04-06 00:00:00,5258.0,1562.3333333333333,699.3333333333334,2996.3333333333335
141942,14045,43208,84689,2020-04-07 00:00:00,5524.666666666667,1494.0,717.0,3313.6666666666665
148220,14792,48021,85407,2020-04-08 00:00:00,5515.666666666667,904.3333333333334,702.0,3909.3333333333335
153222,15447,52165,85610,2020-04-09 00:00:00,5443.666666666667,611.6666666666666,678.6666666666666,4153.333333333333
158273,16081,55668,86524,2020-04-10 00:00:00,4935.666666666667,635.0,604.6666666666666,3696.0
163027,16606,59109,87312,2020-04-11 00:00:00,4536.333333333333,567.3333333333334,587.3333333333334,3408.6666666666665
166831,17209,62391,87231,2020-04-12 00:00:00,3942.0,391.0,558.3333333333334,3019.6666666666665
170099,17756,64727,87616,2020-04-13 00:00:00,3171.3333333333335,128.33333333333334,483.3333333333333,2798.3333333333335
172541,18056,67504,86981,2020-04-14 00:00:00,3604.3333333333335,495.6666666666667,499.6666666666667,2820.6666666666665
177644,18708,70853,88083,2020-04-15 00:00:00,4949.666666666667,1285.0,519.6666666666666,3356.6666666666665
184948,19315,74797,90836,2020-04-16 00:00:00,6099.333333333333,3019.6666666666665,648.6666666666666,2431.0
190839,20002,74797,96040,2020-04-17 00:00:00,4694.0,2934.3333333333335,445.0,1314.6666666666667
191726,20043,74797,96886,2020-04-18 00:00:00,4575.333333333333,3342.6666666666665,379.3333333333333,853.3333333333334
198674,20453,77357,100864,2020-04-19 00:00:00,3123.6666666666665,1608.0,283.3333333333333,1930.0
200210,20852,80587,98771,2020-04-20 00:00:00,4150.666666666667,1863.0,413.0,2572.3333333333335
