Confirmed,Deaths,Recovered,Active,Date,Confirmed_brutincidence,Confirmed_MMincidence,Confirmed_eMMincidence,Deaths_brutincidence,Deaths_MMincidence,Deaths_eMMincidence,Recovered_brutincidence,Recovered_MMincidence,Recovered_eMMincidence,Active_brutincidence,Active_MMincidence,Active_eMMincidence
0,0,0,0,2020-01-22,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
0,0,0,0,2020-01-23,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
0,0,0,0,2020-01-24,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
0,0,0,0,2020-01-25,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
0,0,0,0,2020-01-26,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
0,0,0,0,2020-01-27,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
0,0,0,0,2020-01-28,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
0,0,0,0,2020-01-29,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
0,0,0,0,2020-01-30,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2,0,0,2,2020-01-31,2,0.3,0.2,0,0.0,0.0,0,0.0,0.0,2,0.3,0.2
2,0,0,2,2020-02-01,0,0.3,0.18,0,0.0,0.0,0,0.0,0.0,0,0.3,0.18
2,0,0,2,2020-02-02,0,0.3,0.16,0,0.0,0.0,0,0.0,0.0,0,0.3,0.16
16,0,0,16,2020-02-03,14,2.3,1.55,0,0.0,0.0,0,0.0,0.0,14,2.3,1.55
16,0,0,16,2020-02-04,0,2.3,1.39,0,0.0,0.0,0,0.0,0.0,0,2.3,1.39
18,0,0,18,2020-02-05,2,2.6,1.45,0,0.0,0.0,0,0.0,0.0,2,2.6,1.45
18,0,0,18,2020-02-06,0,2.6,1.31,0,0.0,0.0,0,0.0,0.0,0,2.6,1.31
18,0,0,18,2020-02-07,0,2.3,1.18,0,0.0,0.0,0,0.0,0.0,0,2.3,1.18
26,0,0,26,2020-02-08,8,3.4,1.86,0,0.0,0.0,0,0.0,0.0,8,3.4,1.86
28,0,0,28,2020-02-09,2,3.7,1.87,0,0.0,0.0,0,0.0,0.0,2,3.7,1.87
