Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22 00:00:00
0,0,0,0,2020-01-23 00:00:00
2,0,0,2,2020-01-24 00:00:00
3,0,0,3,2020-01-25 00:00:00
3,0,0,3,2020-01-26 00:00:00
3,0,0,3,2020-01-27 00:00:00
4,0,0,4,2020-01-28 00:00:00
5,0,0,5,2020-01-29 00:00:00
5,0,0,5,2020-01-30 00:00:00
5,0,0,5,2020-01-31 00:00:00
6,0,0,6,2020-02-01 00:00:00
6,0,0,6,2020-02-02 00:00:00
6,0,0,6,2020-02-03 00:00:00
6,0,0,6,2020-02-04 00:00:00
6,0,0,6,2020-02-05 00:00:00
6,0,0,6,2020-02-06 00:00:00
6,0,0,6,2020-02-07 00:00:00
11,0,0,11,2020-02-08 00:00:00
11,0,0,11,2020-02-09 00:00:00
11,0,0,11,2020-02-10 00:00:00
11,0,0,11,2020-02-11 00:00:00
11,0,2,9,2020-02-12 00:00:00
11,0,2,9,2020-02-13 00:00:00
11,0,2,9,2020-02-14 00:00:00
12,1,4,7,2020-02-15 00:00:00
12,1,4,7,2020-02-16 00:00:00
12,1,4,7,2020-02-17 00:00:00
12,1,4,7,2020-02-18 00:00:00
12,1,4,7,2020-02-19 00:00:00
12,1,4,7,2020-02-20 00:00:00
12,1,4,7,2020-02-21 00:00:00
12,1,4,7,2020-02-22 00:00:00
12,1,4,7,2020-02-23 00:00:00
12,1,4,7,2020-02-24 00:00:00
14,1,11,2,2020-02-25 00:00:00
18,2,11,5,2020-02-26 00:00:00
38,2,11,25,2020-02-27 00:00:00
57,2,11,44,2020-02-28 00:00:00
100,2,12,86,2020-02-29 00:00:00
130,2,12,116,2020-03-01 00:00:00
191,3,12,176,2020-03-02 00:00:00
204,4,12,188,2020-03-03 00:00:00
288,4,12,272,2020-03-04 00:00:00
380,6,12,362,2020-03-05 00:00:00
656,9,12,635,2020-03-06 00:00:00
959,11,12,936,2020-03-07 00:00:00
1136,19,12,1105,2020-03-08 00:00:00
1219,19,12,1188,2020-03-09 00:00:00
1794,33,12,1749,2020-03-10 00:00:00
2293,48,12,2233,2020-03-11 00:00:00
2293,48,12,2233,2020-03-12 00:00:00
3681,79,12,3590,2020-03-13 00:00:00
4496,91,12,4393,2020-03-14 00:00:00
4532,91,12,4429,2020-03-15 00:00:00
6683,149,12,6522,2020-03-16 00:00:00
7715,149,12,7554,2020-03-17 00:00:00
9124,149,12,8963,2020-03-18 00:00:00
10970,244,12,10714,2020-03-19 00:00:00
12758,451,12,12295,2020-03-20 00:00:00
14463,563,12,13888,2020-03-21 00:00:00
16243,676,2206,13361,2020-03-22 00:00:00
20123,862,2206,17055,2020-03-23 00:00:00
22622,1102,3250,18270,2020-03-24 00:00:00
25600,1333,3907,20360,2020-03-25 00:00:00
29551,1698,4955,22898,2020-03-26 00:00:00
33402,1997,5707,25698,2020-03-27 00:00:00
38105,2317,5724,30064,2020-03-28 00:00:00
40708,2611,7226,30871,2020-03-29 00:00:00
45170,3030,7964,34176,2020-03-30 00:00:00
52827,3532,9513,39782,2020-03-31 00:00:00
57749,4414,11053,42282,2020-04-01 00:00:00
59929,5398,12548,41983,2020-04-02 00:00:00
65202,6520,14135,44547,2020-04-03 00:00:00
69500,7574,15572,46354,2020-04-04 00:00:00
71412,8093,16349,46970,2020-04-05 00:00:00
75343,8926,17428,48989,2020-04-06 00:00:00
79163,10343,19523,49297,2020-04-07 00:00:00
83057,10887,21452,50718,2020-04-08 00:00:00
87366,12228,23413,51725,2020-04-09 00:00:00
91738,13215,25195,53328,2020-04-10 00:00:00
94863,13851,26663,54349,2020-04-11 00:00:00
121712,14412,27469,79831,2020-04-12 00:00:00
125394,14986,28001,82407,2020-04-13 00:00:00
130365,15731,28805,85829,2020-04-14 00:00:00
133585,17169,30955,85461,2020-04-15 00:00:00
146075,17922,32812,95341,2020-04-16 00:00:00
148084,18683,34420,94981,2020-04-17 00:00:00
148086,19325,35983,92778,2020-04-18 00:00:00
153011,19720,36578,96713,2020-04-19 00:00:00
155393,20267,37409,97717,2020-04-20 00:00:00
158168,20798,39181,98189,2020-04-21 00:00:00
155980,21342,40657,93981,2020-04-22 00:00:00
