Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22 00:00:00
0,0,0,0,2020-01-23 00:00:00
0,0,0,0,2020-01-24 00:00:00
0,0,0,0,2020-01-25 00:00:00
0,0,0,0,2020-01-26 00:00:00
0,0,0,0,2020-01-27 00:00:00
0,0,0,0,2020-01-28 00:00:00
0,0,0,0,2020-01-29 00:00:00
0,0,0,0,2020-01-30 00:00:00
2,0,0,2,2020-01-31 00:00:00
2,0,0,2,2020-02-01 00:00:00
2,0,0,2,2020-02-02 00:00:00
2,0,0,2,2020-02-03 00:00:00
2,0,0,2,2020-02-04 00:00:00
2,0,0,2,2020-02-05 00:00:00
2,0,0,2,2020-02-06 00:00:00
3,0,0,3,2020-02-07 00:00:00
3,0,0,3,2020-02-08 00:00:00
3,0,0,3,2020-02-09 00:00:00
3,0,0,3,2020-02-10 00:00:00
3,0,0,3,2020-02-11 00:00:00
3,0,0,3,2020-02-12 00:00:00
3,0,0,3,2020-02-13 00:00:00
3,0,0,3,2020-02-14 00:00:00
3,0,0,3,2020-02-15 00:00:00
3,0,0,3,2020-02-16 00:00:00
3,0,0,3,2020-02-17 00:00:00
3,0,0,3,2020-02-18 00:00:00
3,0,0,3,2020-02-19 00:00:00
3,0,0,3,2020-02-20 00:00:00
20,1,0,19,2020-02-21 00:00:00
62,2,1,59,2020-02-22 00:00:00
155,3,2,150,2020-02-23 00:00:00
229,7,1,221,2020-02-24 00:00:00
322,10,1,311,2020-02-25 00:00:00
453,12,3,438,2020-02-26 00:00:00
655,17,45,593,2020-02-27 00:00:00
888,21,46,821,2020-02-28 00:00:00
1128,29,46,1053,2020-02-29 00:00:00
1694,34,83,1577,2020-03-01 00:00:00
2036,52,149,1835,2020-03-02 00:00:00
2502,79,160,2263,2020-03-03 00:00:00
3089,107,276,2706,2020-03-04 00:00:00
3858,148,414,3296,2020-03-05 00:00:00
4636,197,523,3916,2020-03-06 00:00:00
5883,233,589,5061,2020-03-07 00:00:00
7375,366,622,6387,2020-03-08 00:00:00
9172,463,724,7985,2020-03-09 00:00:00
10149,631,724,8794,2020-03-10 00:00:00
12462,827,1045,10590,2020-03-11 00:00:00
15113,1016,1045,13052,2020-03-12 00:00:00
17660,1266,1439,14955,2020-03-13 00:00:00
21157,1441,1966,17750,2020-03-14 00:00:00
24747,1809,2335,20603,2020-03-15 00:00:00
27980,2158,2749,23073,2020-03-16 00:00:00
31506,2503,2941,26062,2020-03-17 00:00:00
35713,2978,4025,28710,2020-03-18 00:00:00
41035,3405,4440,33190,2020-03-19 00:00:00
47021,4032,4440,38549,2020-03-20 00:00:00
53578,4825,6072,42681,2020-03-21 00:00:00
59138,5476,7024,46638,2020-03-22 00:00:00
63927,6077,7024,50826,2020-03-23 00:00:00
69176,6820,8326,54030,2020-03-24 00:00:00
74386,7503,9362,57521,2020-03-25 00:00:00
80589,8215,10361,62013,2020-03-26 00:00:00
86498,9134,10950,66414,2020-03-27 00:00:00
92472,10023,12384,70065,2020-03-28 00:00:00
97689,10779,13030,73880,2020-03-29 00:00:00
101739,11591,14620,75528,2020-03-30 00:00:00
105792,12428,15729,77635,2020-03-31 00:00:00
110574,13155,16847,80572,2020-04-01 00:00:00
115242,13915,18278,83049,2020-04-02 00:00:00
119827,14681,19758,85388,2020-04-03 00:00:00
124632,15362,20996,88274,2020-04-04 00:00:00
128948,15887,21815,91246,2020-04-05 00:00:00
132547,16523,22837,93187,2020-04-06 00:00:00
135586,17127,24392,94067,2020-04-07 00:00:00
139422,17669,26491,95262,2020-04-08 00:00:00
143626,18279,28470,96877,2020-04-09 00:00:00
147577,18849,30455,98273,2020-04-10 00:00:00
152271,19468,32534,100269,2020-04-11 00:00:00
156363,19899,34211,102253,2020-04-12 00:00:00
159516,20465,35435,103616,2020-04-13 00:00:00
162488,21067,37130,104291,2020-04-14 00:00:00
165155,21645,38092,105418,2020-04-15 00:00:00
168941,22170,40164,106607,2020-04-16 00:00:00
172434,22745,42727,106962,2020-04-17 00:00:00
175925,23227,44927,107771,2020-04-18 00:00:00
178972,23660,47055,108257,2020-04-19 00:00:00
181228,24114,48877,108237,2020-04-20 00:00:00
