timestep,incidence,aPosterior,bPosterior,MeanR,StdR,RQuantile025,RQuantile05,RQuantile25,Rmedian,RQuantile75,RQuantile95,RQuantile975
32,8.4,11.8,1.152990530248392,13.605288256931027,3.960652537340422,6.984455230611318,7.808417302964866,10.767205808942634,13.222948272651816,16.027424891721047,20.706922191314735,22.396521603312507
33,21.7,33.5,1.2856302383321978,43.06861298412863,7.441122978114424,29.73729225314088,31.60225056370349,37.84392591650589,42.64083591833043,47.827300010627845,55.994385808565,58.830027605208365
34,32.3,65.8,1.1301546939467764,74.36417886169788,9.167498339353301,57.48935054899686,59.95427195932876,67.99281603594808,73.9878017864561,80.3253906343175,90.05804187054267,93.37751379398927
35,45.6,111.4,0.6181183305764947,68.8583820262215,6.524003996338946,56.66669523414112,58.49007224646571,64.35297175405513,68.65245254490831,73.13935066490508,79.9291678777774,82.22021585418624
36,64.3,175.7,0.263961075716038,46.377961003307874,3.498853594529158,39.77366346217939,40.77678420901797,43.97252684313769,46.290003715607604,48.68752343751101,52.279176610854115,53.482076527597215
37,93.1,268.79999999999995,0.1170876216742965,31.473152706050893,1.919665751359712,27.822774321490947,28.383537058374262,30.15796690023845,31.434132114838853,32.74580484492281,34.69587355117844,35.345271454294135
38,124.0,390.4,0.05777177543661115,22.55410113045299,1.1414860777438978,20.372040688570664,20.709936761380177,21.774044859586947,22.534846797789378,23.313169000373655,24.463944574656868,24.845578812895607
39,152.3,534.3,0.03134429373710088,16.747256143733,0.7245211631551107,15.35713769633379,15.573608797861324,16.253046350166784,16.736809205412005,17.23007794951744,17.956539250271607,18.196742275705866
40,219.9,732.5,0.01831718356649033,13.417336962454167,0.49574975957102463,12.46314910934586,12.612446771572618,13.079714195804383,13.411231728798349,13.74830446265278,14.243052783479905,14.406219756592156
41,258.1,958.3000000000001,0.011367801379186955,10.89376406167486,0.3519064451311524,10.214869476203857,10.32146391281829,10.654386591743176,10.88997502895806,11.129011105919513,11.478989000422622,11.594191123885325
42,311.4,1224.1,0.007411271363269233,9.072137275777868,0.2592991924314842,8.570975812877572,8.649882849195974,8.895922158264234,9.069666971620165,9.245659499587637,9.502818160257373,9.587337128749295
43,376.6,1536.4,0.005030912182614118,7.72949347736833,0.1971963562055057,7.347782609907502,7.408019564421668,7.595588289583616,7.727816571337264,7.861570652442401,8.056687481846097,8.120733985275509
44,457.6,1900.9,0.003535511064357482,6.720652982237137,0.1541458496956908,6.4218951545705725,6.469131465059648,6.616050799343313,6.719474515295123,6.823970502271341,6.976194363547502,7.026107895936994
45,535.4,2312.3,0.0025611346545343183,5.922111661679705,0.12315569578687666,5.683165802313543,5.721005027212618,5.838585628185589,5.921257972010432,6.00470707438497,6.126130312337314,6.165908942603293
46,679.3,2839.3,0.0019050168447854693,5.408914327399383,0.10150897943382788,5.21177082765579,5.243036938253976,5.3401058370520165,5.408279335039412,5.47703060108762,5.576957734629961,5.609666420360681
47,811.6,3430.9999999999995,0.0014499106723823913,4.974643516943984,0.0849281386026737,4.8095649387371155,4.835778299213397,4.917099968601342,4.974160221734894,5.0316602156805565,5.115157299128829,5.142468611901138
48,1019.4,4192.3,0.0011251340268897273,4.716899380929804,0.0728501475283284,4.575184359290423,4.597714607887514,4.667560414901219,4.71652434155599,4.765829508655191,4.837363447453906,4.860745714016248
49,1092.4,4973.299999999999,0.0008869461013978372,4.411049046081863,0.06254888291965698,4.28929771241448,4.308671993126266,4.368700863301381,4.410753400904452,4.453074939556207,4.51443457148401,4.534480502673071
50,1339.0,5935.700000000001,0.0007079349660097394,4.202089577744011,0.054541783454431406,4.095861741147449,4.112780597980964,4.165174209255377,4.2018536017780495,4.238747703447465,4.292203492739007,4.309658443464592
51,1607.9,7086.0,0.0005707705086210076,4.04447982408846,0.04804653792212685,3.950852107611428,3.9657761211728406,4.01197005734594,4.044289568843427,4.076782189113083,4.123832504654957,4.139188743525106
52,1860.6,8411.2,0.0004642759419654187,3.90511780305953,0.04257995122709031,3.8221032392558305,3.8353449550404375,3.876314330700037,3.904963045502574,3.9337525704773544,3.975418542880828,3.9890118399921026
53,2182.0,9913.9,0.0003805628658209918,3.7728621954627304,0.03789210009293462,3.6989561498503973,3.7107523414665726,3.747235687959976,3.772735341932409,3.7983504168167683,3.835404758101953,3.8474891383212384
54,2481.7,11584.0,0.00031396038115552686,3.636917055305623,0.03379123946993939,3.5709853112185805,3.5815144750642105,3.614068525967699,3.6368124023806216,3.659651499880739,3.6926766159293516,3.703443532697412
55,2686.9,13251.499999999998,0.0002604592384874803,3.451475598816845,0.029982806842021235,3.3929574597206105,3.4023067884360554,3.4312054583911547,3.4513887794589415,3.471651095271589,3.500940557688744,3.510487124703091
56,3051.0,15210.1,0.00021721438171759283,3.3038524673627587,0.026788883347096518,3.2515532579490696,3.259912510094507,3.285744391103506,3.3037800628509526,3.3218816136201204,3.3480394027976024,3.356563145311961
57,3321.6,17192.7,0.00018218945844768736,3.1323287022535546,0.023888852419982894,3.0856802113721615,3.0931388863626723,3.1161829850872556,3.1322679726433984,3.1484082165136718,3.171725672185116,3.1793223142541245
58,3703.1,19287.899999999998,0.0001538141044519597,2.9667510652589533,0.021361838830838118,2.925028505895309,2.9317016297935736,2.9523149136999787,2.966699794048329,2.981131324747416,3.001975391326719,3.008764994498999
59,4194.4,21621.699999999997,0.00013078293643942706,2.8277494168123596,0.019230740293748383,2.790181882416076,2.796192190216002,2.814754827082002,2.8277058226196954,2.8406964833814254,2.8594553470242814,2.8655646932703656
60,4631.6,24071.300000000003,0.00011204093686458764,2.6969710035485486,0.017383071015623405,2.6630070541841184,2.6684422345897025,2.6852260324690054,2.6969336566615367,2.7086752618123726,2.72562716601221,2.73114719208458
61,4913.0,26502.6,9.672199564234781e-05,2.5633843617108867,0.015745972534685272,2.5326145350821863,2.537539645997645,2.5527463643285406,2.563352121117763,2.573987212778517,2.589339052910782,2.594337408887634
62,5135.3,28951.0,8.41165972202186e-05,2.4352596061225484,0.014312433455386915,2.4072875081151457,2.411765666459818,2.4255907941588,2.4352315673142018,2.444897852244878,2.458849188614499,2.4633910462989816
63,5381.4,31281.399999999994,7.367485916323426e-05,2.304652739428796,0.013030539743141055,2.27918320366396,2.283261375758377,2.295850439222053,2.3046281811889315,2.313428268051614,2.326127873403602,2.3302618375918036
64,5524.7,33484.49999999999,6.498300153507561e-05,2.175923314901239,0.011891090282746744,2.152678815986062,2.156401225319516,2.1678911333413633,2.175901653939062,2.1839318832747137,2.1955192919189135,2.1992909112340304
65,5650.6,35432.0,5.7725727986302303e-05,2.045337994010663,0.01086593873912,2.0240958731410905,2.0274979933010897,2.0379985792716195,2.0453187521335163,2.0526564326709127,2.0632436304450756,2.0666894648443166
66,5639.6,36877.200000000004,5.1657997781858306e-05,1.9050023158011453,0.009920111158857572,1.8856082293944028,1.8887146060412616,1.8983019498809945,1.9049850964962223,1.9116839105014447,1.921348762114888,1.9244942580660678
67,5556.3,37801.9,4.658556146140641e-05,1.7610227358079389,0.009057495950532618,1.7433145347249388,1.7461510122851371,1.754905112996522,1.761007207311795,1.7671234305946217,1.775947428387914,1.7788191840261125
68,5507.3,38396.200000000004,4.235641992842514e-05,1.6263255708557975,0.008299718598814293,1.6100985764239168,1.6126978712340116,1.6207198266078517,1.6263114520709454,1.6319159238424596,1.640001430886262,1.6426328011527758
69,5401.7,38662.59999999999,3.885353075996168e-05,1.502178518360094,0.007639694972317781,1.4872418255082736,1.489634465912107,1.497018587438001,1.502165567203025,1.5073243308828124,1.514766748336336,1.517188811546837
70,5230.9,38512.1,3.598102041623451e-05,1.3857046563720652,0.007061095349292099,1.3718992747903092,1.374110679754611,1.3809355051167194,1.385692662717048,1.390460733026417,1.3973395443946424,1.3995781968851315
